name	Fis1
ENSG00000267898	0.122809734
ENSG00000267890	0
ENSG00000267892	0.14706077
ENSG00000261723	0
ENSG00000261727	0
ENSG00000275665	0.103177627
ENSG00000128159	5.14483182
ENSG00000164758	9.358784011
ENSG00000164756	0
ENSG00000164754	58.90517723
ENSG00000283406	0.044718248
ENSG00000164751	8.849542399
ENSG00000178233	0.042563843
ENSG00000178234	5.910442381
ENSG00000178235	0.055973217
ENSG00000170425	13.07059522
ENSG00000170426	0
ENSG00000170421	18.80020526
ENSG00000174963	0
ENSG00000131242	1.85410525
ENSG00000261499	1.044408466
ENSG00000186081	0
ENSG00000261490	0.182045312
ENSG00000265933	0
ENSG00000265939	3.644800264
ENSG00000283409	0
ENSG00000111961	1.829780174
ENSG00000264049	4.3028892
ENSG00000105576	20.39602538
ENSG00000264041	0
ENSG00000111669	189.9940726
ENSG00000170791	6.416923751
ENSG00000109016	3.09095531
ENSG00000198924	11.65568497
ENSG00000172867	0
ENSG00000172869	3.898077914
ENSG00000259726	0.070984527
ENSG00000126070	3.220607928
ENSG00000167799	1.220853648
ENSG00000176974	4.986351824
ENSG00000254101	0
ENSG00000007923	15.07365661
ENSG00000240673	0
ENSG00000259727	0.047419595
ENSG00000164329	7.646065368
ENSG00000167798	0
ENSG00000205740	0.105318501
ENSG00000227910	0.596804838
ENSG00000172232	0.423531719
ENSG00000173889	4.971504113
ENSG00000172795	12.54479651
ENSG00000172794	0.309105856
ENSG00000179674	0.179564155
ENSG00000179673	0
ENSG00000171444	0.205414309
ENSG00000124313	1.752475113
ENSG00000104626	6.222847122
ENSG00000171443	4.741087843
ENSG00000171448	3.826746025
ENSG00000239825	0
ENSG00000108055	30.60033625
ENSG00000236833	0.039489466
ENSG00000167077	0.150796599
ENSG00000167074	3.954733902
ENSG00000225706	0
ENSG00000198513	0.799389966
ENSG00000215223	0
ENSG00000178796	0
ENSG00000178795	0
ENSG00000069849	93.9675068
ENSG00000186446	0.029713046
ENSG00000224699	0.232247994
ENSG00000186442	0
ENSG00000223404	0.18324607
ENSG00000136160	0
ENSG00000136161	2.83480895
ENSG00000235138	0
ENSG00000186448	1.734000126
ENSG00000136169	3.035798513
ENSG00000172137	0.306988278
ENSG00000276102	0
ENSG00000220583	0
ENSG00000172139	0.013668001
ENSG00000228755	0
ENSG00000228750	0.026548905
ENSG00000232101	0
ENSG00000113368	20.94593876
ENSG00000221184	7.186268561
ENSG00000180846	0
ENSG00000184178	2.389218069
ENSG00000214174	5.736627942
ENSG00000234667	0.012535391
ENSG00000214176	1.152314642
ENSG00000225521	0
ENSG00000225527	0.281302684
ENSG00000225526	0.03175998
ENSG00000129007	0.023060343
ENSG00000129003	3.838547824
ENSG00000215883	1.958860662
ENSG00000129009	0.021748036
ENSG00000221634	0
ENSG00000229409	3.2271669
ENSG00000229404	0.464066376
ENSG00000229407	0
ENSG00000262227	0.52712345
ENSG00000206527	22.40622401
ENSG00000239265	0
ENSG00000239264	0.06620584
ENSG00000146540	23.2192089
ENSG00000274114	0.097957849
ENSG00000277420	0
ENSG00000269916	0
ENSG00000269915	0
ENSG00000169116	0.080775334
ENSG00000241484	0.046564332
ENSG00000241489	0.175442477
ENSG00000269918	0.317268643
ENSG00000157240	1.902095786
ENSG00000124459	8.251203875
ENSG00000254733	0
ENSG00000254731	0
ENSG00000058063	21.93182064
ENSG00000088305	6.047278623
ENSG00000183397	3.275047715
ENSG00000183396	0.08774774
ENSG00000278727	0.032406697
ENSG00000013364	4.020163945
ENSG00000262339	0
ENSG00000268357	0.156153237
ENSG00000218537	0.669046796
ENSG00000268350	0.474698279
ENSG00000151948	0
ENSG00000183647	3.506867558
ENSG00000122859	0
ENSG00000183648	6.006551915
ENSG00000232467	0
ENSG00000100330	0.545519276
ENSG00000232460	0
ENSG00000100335	17.09223777
ENSG00000253704	0.292230876
ENSG00000247556	10.52871796
ENSG00000086062	32.96174672
ENSG00000086061	159.7766786
ENSG00000123106	2.667391567
ENSG00000266589	3.017610608
ENSG00000086065	61.05421697
ENSG00000052344	0.038597345
ENSG00000197748	0.105116517
ENSG00000198939	0.461896663
ENSG00000198938	2237.686245
ENSG00000184508	1.136814741
ENSG00000198934	2.176337348
ENSG00000198937	33.87743218
ENSG00000197747	132.5920109
ENSG00000198930	0
ENSG00000197744	3.197559864
ENSG00000168398	0.025459023
ENSG00000168393	38.74970293
ENSG00000168397	16.30307545
ENSG00000168394	14.40170812
ENSG00000106537	24.60424549
ENSG00000248659	0
ENSG00000274805	0
ENSG00000264044	0.115027731
ENSG00000246889	0.490680347
ENSG00000182118	0.776461209
ENSG00000184502	0
ENSG00000007080	46.716157
ENSG00000182111	0.547693132
ENSG00000166068	10.41523187
ENSG00000103269	1.264144996
ENSG00000238009	0
ENSG00000000003	7.467671323
ENSG00000158163	1.462300007
ENSG00000272406	0
ENSG00000158161	4.972913363
ENSG00000260805	0
ENSG00000000005	0
ENSG00000158169	4.07795285
ENSG00000276988	0
ENSG00000115257	0.750622681
ENSG00000115255	3.984872481
ENSG00000115252	0.018376781
ENSG00000127774	0.075538367
ENSG00000163701	0.037268394
ENSG00000163702	4.926049916
ENSG00000163703	4.38204505
ENSG00000163704	0.929070136
ENSG00000163705	0.061307656
ENSG00000189129	0.468459711
ENSG00000170633	11.90338357
ENSG00000189120	0.598708755
ENSG00000189127	0.245405833
ENSG00000249019	0
ENSG00000249012	0.1195247
ENSG00000249014	0.152464578
ENSG00000129451	0.045228916
ENSG00000205293	0.055086775
ENSG00000273812	0.092942407
ENSG00000125734	10.25100074
ENSG00000125733	16.79066897
ENSG00000125731	0.223575594
ENSG00000125730	0.069751446
ENSG00000155530	0.089395205
ENSG00000271976	1.169426333
ENSG00000271971	0.789252775
ENSG00000271970	0
ENSG00000271973	0.832817265
ENSG00000271978	0.070991756
ENSG00000267761	0
ENSG00000267767	0
ENSG00000213519	0
ENSG00000230359	0.575994092
ENSG00000213516	6.24625227
ENSG00000267769	0.113900008
ENSG00000213514	0
ENSG00000213513	0.075440265
ENSG00000197915	0.030182378
ENSG00000199377	0
ENSG00000040608	4.210104528
ENSG00000161542	15.39496739
ENSG00000161544	0.118187191
ENSG00000244559	0
ENSG00000161547	43.86037507
ENSG00000244556	0.318975618
ENSG00000144591	9.521715993
ENSG00000144596	0.136852513
ENSG00000144597	10.98188861
ENSG00000230510	0.101856925
ENSG00000204231	15.39654984
ENSG00000204237	8.640739375
ENSG00000070010	5.957846585
ENSG00000152795	48.20241693
ENSG00000070019	0.862226062
ENSG00000070018	8.463000903
ENSG00000188092	2.801103061
ENSG00000076924	18.69588323
ENSG00000188095	0.358372993
ENSG00000240541	0.374365226
ENSG00000130045	0.570899304
ENSG00000100941	38.05306821
ENSG00000090432	25.89940425
ENSG00000161091	8.509152975
ENSG00000100949	6.701947171
ENSG00000206976	0
ENSG00000153774	6.60221724
ENSG00000272979	0
ENSG00000244649	2.499423198
ENSG00000272970	0.580061383
ENSG00000272971	0.21239124
ENSG00000272973	0
ENSG00000272975	0
ENSG00000143248	0.170324012
ENSG00000272977	0.634429721
ENSG00000236914	0.06479532
ENSG00000091527	76.8711599
ENSG00000140274	0
ENSG00000140279	0.017720868
ENSG00000138061	4.278920662
ENSG00000164111	197.7400249
ENSG00000164114	2.03314794
ENSG00000164116	0.04029761
ENSG00000164117	4.630582542
ENSG00000138069	67.93126178
ENSG00000163817	0
ENSG00000245205	0
ENSG00000274678	0
ENSG00000272849	2.234192469
ENSG00000275479	0.675453537
ENSG00000248866	1.385710978
